"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2016 09:00:00 - 09/01/2016 10:00:00","BZN|ES","Without Sequence","36.13","",""
"09/01/2016 10:00:00 - 09/01/2016 11:00:00","BZN|ES","Without Sequence","36.13","",""
"09/01/2016 11:00:00 - 09/01/2016 12:00:00","BZN|ES","Without Sequence","35.76","",""
"09/01/2016 12:00:00 - 09/01/2016 13:00:00","BZN|ES","Without Sequence","32.01","",""
"09/01/2016 13:00:00 - 09/01/2016 14:00:00","BZN|ES","Without Sequence","31.54","",""
"09/01/2016 14:00:00 - 09/01/2016 15:00:00","BZN|ES","Without Sequence","27.92","",""
"09/01/2016 15:00:00 - 09/01/2016 16:00:00","BZN|ES","Without Sequence","21.69","",""
"09/01/2016 16:00:00 - 09/01/2016 17:00:00","BZN|ES","Without Sequence","23.00","",""
"09/01/2016 17:00:00 - 09/01/2016 18:00:00","BZN|ES","Without Sequence","30.32","",""
"09/01/2016 18:00:00 - 09/01/2016 19:00:00","BZN|ES","Without Sequence","36.13","",""
"09/01/2016 19:00:00 - 09/01/2016 20:00:00","BZN|ES","Without Sequence","35.00","",""
"09/01/2016 20:00:00 - 09/01/2016 21:00:00","BZN|ES","Without Sequence","29.00","",""
"09/01/2016 21:00:00 - 09/01/2016 22:00:00","BZN|ES","Without Sequence","25.01","",""
"09/01/2016 22:00:00 - 09/01/2016 23:00:00","BZN|ES","Without Sequence","25.10","",""
"09/01/2016 23:00:00 - 10/01/2016 00:00:00","BZN|ES","Without Sequence","22.28","",""
"10/01/2016 00:00:00 - 10/01/2016 01:00:00","BZN|ES","Without Sequence","10.00","",""
"10/01/2016 01:00:00 - 10/01/2016 02:00:00","BZN|ES","Without Sequence","5.00","",""
"10/01/2016 02:00:00 - 10/01/2016 03:00:00","BZN|ES","Without Sequence","4.00","",""
"10/01/2016 03:00:00 - 10/01/2016 04:00:00","BZN|ES","Without Sequence","2.50","",""
"10/01/2016 04:00:00 - 10/01/2016 05:00:00","BZN|ES","Without Sequence","2.35","",""
"10/01/2016 05:00:00 - 10/01/2016 06:00:00","BZN|ES","Without Sequence","2.30","",""
"10/01/2016 06:00:00 - 10/01/2016 07:00:00","BZN|ES","Without Sequence","2.30","",""
"10/01/2016 07:00:00 - 10/01/2016 08:00:00","BZN|ES","Without Sequence","2.50","",""
"10/01/2016 08:00:00 - 10/01/2016 09:00:00","BZN|ES","Without Sequence","4.00","",""
"10/01/2016 09:00:00 - 10/01/2016 10:00:00","BZN|ES","Without Sequence","5.00","",""
"10/01/2016 10:00:00 - 10/01/2016 11:00:00","BZN|ES","Without Sequence","8.00","",""
"10/01/2016 11:00:00 - 10/01/2016 12:00:00","BZN|ES","Without Sequence","11.10","",""
"10/01/2016 12:00:00 - 10/01/2016 13:00:00","BZN|ES","Without Sequence","10.10","",""
"10/01/2016 13:00:00 - 10/01/2016 14:00:00","BZN|ES","Without Sequence","12.40","",""
"10/01/2016 14:00:00 - 10/01/2016 15:00:00","BZN|ES","Without Sequence","12.40","",""
"10/01/2016 15:00:00 - 10/01/2016 16:00:00","BZN|ES","Without Sequence","8.10","",""
"10/01/2016 16:00:00 - 10/01/2016 17:00:00","BZN|ES","Without Sequence","8.00","",""
"10/01/2016 17:00:00 - 10/01/2016 18:00:00","BZN|ES","Without Sequence","10.10","",""
"10/01/2016 18:00:00 - 10/01/2016 19:00:00","BZN|ES","Without Sequence","25.00","",""
"10/01/2016 19:00:00 - 10/01/2016 20:00:00","BZN|ES","Without Sequence","33.00","",""
"10/01/2016 20:00:00 - 10/01/2016 21:00:00","BZN|ES","Without Sequence","30.66","",""
"10/01/2016 21:00:00 - 10/01/2016 22:00:00","BZN|ES","Without Sequence","26.89","",""
"10/01/2016 22:00:00 - 10/01/2016 23:00:00","BZN|ES","Without Sequence","26.93","",""
"10/01/2016 23:00:00 - 11/01/2016 00:00:00","BZN|ES","Without Sequence","18.10","",""
"11/01/2016 00:00:00 - 11/01/2016 01:00:00","BZN|ES","Without Sequence","5.00","",""
"11/01/2016 01:00:00 - 11/01/2016 02:00:00","BZN|ES","Without Sequence","2.50","",""
"11/01/2016 02:00:00 - 11/01/2016 03:00:00","BZN|ES","Without Sequence","2.33","",""
"11/01/2016 03:00:00 - 11/01/2016 04:00:00","BZN|ES","Without Sequence","2.30","",""
"11/01/2016 04:00:00 - 11/01/2016 05:00:00","BZN|ES","Without Sequence","2.30","",""
"11/01/2016 05:00:00 - 11/01/2016 06:00:00","BZN|ES","Without Sequence","2.33","",""
"11/01/2016 06:00:00 - 11/01/2016 07:00:00","BZN|ES","Without Sequence","4.00","",""
"11/01/2016 07:00:00 - 11/01/2016 08:00:00","BZN|ES","Without Sequence","20.00","",""
"11/01/2016 08:00:00 - 11/01/2016 09:00:00","BZN|ES","Without Sequence","40.00","",""
"11/01/2016 09:00:00 - 11/01/2016 10:00:00","BZN|ES","Without Sequence","40.00","",""
"11/01/2016 10:00:00 - 11/01/2016 11:00:00","BZN|ES","Without Sequence","38.50","",""
"11/01/2016 11:00:00 - 11/01/2016 12:00:00","BZN|ES","Without Sequence","35.01","",""
"11/01/2016 12:00:00 - 11/01/2016 13:00:00","BZN|ES","Without Sequence","32.10","",""
"11/01/2016 13:00:00 - 11/01/2016 14:00:00","BZN|ES","Without Sequence","34.10","",""
"11/01/2016 14:00:00 - 11/01/2016 15:00:00","BZN|ES","Without Sequence","31.00","",""
"11/01/2016 15:00:00 - 11/01/2016 16:00:00","BZN|ES","Without Sequence","31.00","",""
"11/01/2016 16:00:00 - 11/01/2016 17:00:00","BZN|ES","Without Sequence","32.00","",""
"11/01/2016 17:00:00 - 11/01/2016 18:00:00","BZN|ES","Without Sequence","37.21","",""
"11/01/2016 18:00:00 - 11/01/2016 19:00:00","BZN|ES","Without Sequence","42.88","",""
"11/01/2016 19:00:00 - 11/01/2016 20:00:00","BZN|ES","Without Sequence","40.00","",""
"11/01/2016 20:00:00 - 11/01/2016 21:00:00","BZN|ES","Without Sequence","40.59","",""
"11/01/2016 21:00:00 - 11/01/2016 22:00:00","BZN|ES","Without Sequence","40.10","",""
"11/01/2016 22:00:00 - 11/01/2016 23:00:00","BZN|ES","Without Sequence","34.10","",""
"11/01/2016 23:00:00 - 12/01/2016 00:00:00","BZN|ES","Without Sequence","28.10","",""
"12/01/2016 00:00:00 - 12/01/2016 01:00:00","BZN|ES","Without Sequence","21.51","",""
"12/01/2016 01:00:00 - 12/01/2016 02:00:00","BZN|ES","Without Sequence","15.00","",""
"12/01/2016 02:00:00 - 12/01/2016 03:00:00","BZN|ES","Without Sequence","8.50","",""
"12/01/2016 03:00:00 - 12/01/2016 04:00:00","BZN|ES","Without Sequence","8.50","",""
"12/01/2016 04:00:00 - 12/01/2016 05:00:00","BZN|ES","Without Sequence","9.80","",""
"12/01/2016 05:00:00 - 12/01/2016 06:00:00","BZN|ES","Without Sequence","16.00","",""
"12/01/2016 06:00:00 - 12/01/2016 07:00:00","BZN|ES","Without Sequence","24.38","",""
"12/01/2016 07:00:00 - 12/01/2016 08:00:00","BZN|ES","Without Sequence","35.92","",""
"12/01/2016 08:00:00 - 12/01/2016 09:00:00","BZN|ES","Without Sequence","40.50","",""
