"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2020 02:00:00 - 06/01/2020 03:00:00","BZN|IT-North","Without Sequence","29.08","",""
"06/01/2020 03:00:00 - 06/01/2020 04:00:00","BZN|IT-North","Without Sequence","27.72","",""
"06/01/2020 04:00:00 - 06/01/2020 05:00:00","BZN|IT-North","Without Sequence","27.03","",""
"06/01/2020 05:00:00 - 06/01/2020 06:00:00","BZN|IT-North","Without Sequence","28.98","",""
"06/01/2020 06:00:00 - 06/01/2020 07:00:00","BZN|IT-North","Without Sequence","33.83","",""
"06/01/2020 07:00:00 - 06/01/2020 08:00:00","BZN|IT-North","Without Sequence","43.13","",""
"06/01/2020 08:00:00 - 06/01/2020 09:00:00","BZN|IT-North","Without Sequence","44.52","",""
"06/01/2020 09:00:00 - 06/01/2020 10:00:00","BZN|IT-North","Without Sequence","44.96","",""
"06/01/2020 10:00:00 - 06/01/2020 11:00:00","BZN|IT-North","Without Sequence","44.00","",""
"06/01/2020 11:00:00 - 06/01/2020 12:00:00","BZN|IT-North","Without Sequence","42.46","",""
"06/01/2020 12:00:00 - 06/01/2020 13:00:00","BZN|IT-North","Without Sequence","41.30","",""
"06/01/2020 13:00:00 - 06/01/2020 14:00:00","BZN|IT-North","Without Sequence","40.51","",""
"06/01/2020 14:00:00 - 06/01/2020 15:00:00","BZN|IT-North","Without Sequence","41.22","",""
"06/01/2020 15:00:00 - 06/01/2020 16:00:00","BZN|IT-North","Without Sequence","43.28","",""
"06/01/2020 16:00:00 - 06/01/2020 17:00:00","BZN|IT-North","Without Sequence","43.68","",""
"06/01/2020 17:00:00 - 06/01/2020 18:00:00","BZN|IT-North","Without Sequence","47.90","",""
"06/01/2020 18:00:00 - 06/01/2020 19:00:00","BZN|IT-North","Without Sequence","48.91","",""
"06/01/2020 19:00:00 - 06/01/2020 20:00:00","BZN|IT-North","Without Sequence","49.01","",""
"06/01/2020 20:00:00 - 06/01/2020 21:00:00","BZN|IT-North","Without Sequence","47.03","",""
"06/01/2020 21:00:00 - 06/01/2020 22:00:00","BZN|IT-North","Without Sequence","45.19","",""
"06/01/2020 22:00:00 - 06/01/2020 23:00:00","BZN|IT-North","Without Sequence","42.49","",""
"06/01/2020 23:00:00 - 07/01/2020 00:00:00","BZN|IT-North","Without Sequence","39.08","",""
"07/01/2020 00:00:00 - 07/01/2020 01:00:00","BZN|IT-North","Without Sequence","39.40","",""
"07/01/2020 01:00:00 - 07/01/2020 02:00:00","BZN|IT-North","Without Sequence","36.70","",""
"07/01/2020 02:00:00 - 07/01/2020 03:00:00","BZN|IT-North","Without Sequence","35.90","",""
"07/01/2020 03:00:00 - 07/01/2020 04:00:00","BZN|IT-North","Without Sequence","36.54","",""
"07/01/2020 04:00:00 - 07/01/2020 05:00:00","BZN|IT-North","Without Sequence","36.68","",""
"07/01/2020 05:00:00 - 07/01/2020 06:00:00","BZN|IT-North","Without Sequence","39.50","",""
"07/01/2020 06:00:00 - 07/01/2020 07:00:00","BZN|IT-North","Without Sequence","47.29","",""
"07/01/2020 07:00:00 - 07/01/2020 08:00:00","BZN|IT-North","Without Sequence","50.00","",""
"07/01/2020 08:00:00 - 07/01/2020 09:00:00","BZN|IT-North","Without Sequence","55.62","",""
"07/01/2020 09:00:00 - 07/01/2020 10:00:00","BZN|IT-North","Without Sequence","55.96","",""
"07/01/2020 10:00:00 - 07/01/2020 11:00:00","BZN|IT-North","Without Sequence","52.50","",""
"07/01/2020 11:00:00 - 07/01/2020 12:00:00","BZN|IT-North","Without Sequence","50.00","",""
"07/01/2020 12:00:00 - 07/01/2020 13:00:00","BZN|IT-North","Without Sequence","48.70","",""
"07/01/2020 13:00:00 - 07/01/2020 14:00:00","BZN|IT-North","Without Sequence","48.70","",""
"07/01/2020 14:00:00 - 07/01/2020 15:00:00","BZN|IT-North","Without Sequence","54.20","",""
"07/01/2020 15:00:00 - 07/01/2020 16:00:00","BZN|IT-North","Without Sequence","61.05","",""
"07/01/2020 16:00:00 - 07/01/2020 17:00:00","BZN|IT-North","Without Sequence","61.05","",""
"07/01/2020 17:00:00 - 07/01/2020 18:00:00","BZN|IT-North","Without Sequence","61.05","",""
"07/01/2020 18:00:00 - 07/01/2020 19:00:00","BZN|IT-North","Without Sequence","60.00","",""
"07/01/2020 19:00:00 - 07/01/2020 20:00:00","BZN|IT-North","Without Sequence","55.62","",""
"07/01/2020 20:00:00 - 07/01/2020 21:00:00","BZN|IT-North","Without Sequence","50.49","",""
"07/01/2020 21:00:00 - 07/01/2020 22:00:00","BZN|IT-North","Without Sequence","50.00","",""
"07/01/2020 22:00:00 - 07/01/2020 23:00:00","BZN|IT-North","Without Sequence","47.29","",""
"07/01/2020 23:00:00 - 08/01/2020 00:00:00","BZN|IT-North","Without Sequence","43.90","",""
"08/01/2020 00:00:00 - 08/01/2020 01:00:00","BZN|IT-North","Without Sequence","41.48","",""
"08/01/2020 01:00:00 - 08/01/2020 02:00:00","BZN|IT-North","Without Sequence","39.30","",""
"08/01/2020 02:00:00 - 08/01/2020 03:00:00","BZN|IT-North","Without Sequence","37.85","",""
"08/01/2020 03:00:00 - 08/01/2020 04:00:00","BZN|IT-North","Without Sequence","36.65","",""
"08/01/2020 04:00:00 - 08/01/2020 05:00:00","BZN|IT-North","Without Sequence","36.80","",""
"08/01/2020 05:00:00 - 08/01/2020 06:00:00","BZN|IT-North","Without Sequence","42.60","",""
"08/01/2020 06:00:00 - 08/01/2020 07:00:00","BZN|IT-North","Without Sequence","46.00","",""
"08/01/2020 07:00:00 - 08/01/2020 08:00:00","BZN|IT-North","Without Sequence","50.16","",""
"08/01/2020 08:00:00 - 08/01/2020 09:00:00","BZN|IT-North","Without Sequence","50.00","",""
