"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2017 02:00:00 - 08/01/2017 03:00:00","BZN|BE","Without Sequence","36.31","",""
"08/01/2017 03:00:00 - 08/01/2017 04:00:00","BZN|BE","Without Sequence","36.47","",""
"08/01/2017 04:00:00 - 08/01/2017 05:00:00","BZN|BE","Without Sequence","40.09","",""
"08/01/2017 05:00:00 - 08/01/2017 06:00:00","BZN|BE","Without Sequence","38.00","",""
"08/01/2017 06:00:00 - 08/01/2017 07:00:00","BZN|BE","Without Sequence","36.31","",""
"08/01/2017 07:00:00 - 08/01/2017 08:00:00","BZN|BE","Without Sequence","37.71","",""
"08/01/2017 08:00:00 - 08/01/2017 09:00:00","BZN|BE","Without Sequence","44.56","",""
"08/01/2017 09:00:00 - 08/01/2017 10:00:00","BZN|BE","Without Sequence","47.23","",""
"08/01/2017 10:00:00 - 08/01/2017 11:00:00","BZN|BE","Without Sequence","56.29","",""
"08/01/2017 11:00:00 - 08/01/2017 12:00:00","BZN|BE","Without Sequence","59.16","",""
"08/01/2017 12:00:00 - 08/01/2017 13:00:00","BZN|BE","Without Sequence","62.13","",""
"08/01/2017 13:00:00 - 08/01/2017 14:00:00","BZN|BE","Without Sequence","59.06","",""
"08/01/2017 14:00:00 - 08/01/2017 15:00:00","BZN|BE","Without Sequence","51.23","",""
"08/01/2017 15:00:00 - 08/01/2017 16:00:00","BZN|BE","Without Sequence","50.60","",""
"08/01/2017 16:00:00 - 08/01/2017 17:00:00","BZN|BE","Without Sequence","53.86","",""
"08/01/2017 17:00:00 - 08/01/2017 18:00:00","BZN|BE","Without Sequence","60.95","",""
"08/01/2017 18:00:00 - 08/01/2017 19:00:00","BZN|BE","Without Sequence","69.21","",""
"08/01/2017 19:00:00 - 08/01/2017 20:00:00","BZN|BE","Without Sequence","71.58","",""
"08/01/2017 20:00:00 - 08/01/2017 21:00:00","BZN|BE","Without Sequence","67.70","",""
"08/01/2017 21:00:00 - 08/01/2017 22:00:00","BZN|BE","Without Sequence","61.59","",""
"08/01/2017 22:00:00 - 08/01/2017 23:00:00","BZN|BE","Without Sequence","64.00","",""
