"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2021 12:00:00 - 09/01/2021 13:00:00","BZN|ES","Without Sequence","75.02","",""
"09/01/2021 13:00:00 - 09/01/2021 14:00:00","BZN|ES","Without Sequence","75.03","",""
"09/01/2021 14:00:00 - 09/01/2021 15:00:00","BZN|ES","Without Sequence","76.64","",""
"09/01/2021 15:00:00 - 09/01/2021 16:00:00","BZN|ES","Without Sequence","72.85","",""
"09/01/2021 16:00:00 - 09/01/2021 17:00:00","BZN|ES","Without Sequence","75.50","",""
"09/01/2021 17:00:00 - 09/01/2021 18:00:00","BZN|ES","Without Sequence","100.00","",""
"09/01/2021 18:00:00 - 09/01/2021 19:00:00","BZN|ES","Without Sequence","114.89","",""
"09/01/2021 19:00:00 - 09/01/2021 20:00:00","BZN|ES","Without Sequence","120.00","",""
"09/01/2021 20:00:00 - 09/01/2021 21:00:00","BZN|ES","Without Sequence","121.24","",""
"09/01/2021 21:00:00 - 09/01/2021 22:00:00","BZN|ES","Without Sequence","120.69","",""
"09/01/2021 22:00:00 - 09/01/2021 23:00:00","BZN|ES","Without Sequence","115.00","",""
"09/01/2021 23:00:00 - 10/01/2021 00:00:00","BZN|ES","Without Sequence","101.41","",""
"10/01/2021 00:00:00 - 10/01/2021 01:00:00","BZN|ES","Without Sequence","62.00","",""
"10/01/2021 01:00:00 - 10/01/2021 02:00:00","BZN|ES","Without Sequence","55.75","",""
"10/01/2021 02:00:00 - 10/01/2021 03:00:00","BZN|ES","Without Sequence","53.14","",""
"10/01/2021 03:00:00 - 10/01/2021 04:00:00","BZN|ES","Without Sequence","49.03","",""
"10/01/2021 04:00:00 - 10/01/2021 05:00:00","BZN|ES","Without Sequence","48.45","",""
"10/01/2021 05:00:00 - 10/01/2021 06:00:00","BZN|ES","Without Sequence","49.07","",""
"10/01/2021 06:00:00 - 10/01/2021 07:00:00","BZN|ES","Without Sequence","50.87","",""
"10/01/2021 07:00:00 - 10/01/2021 08:00:00","BZN|ES","Without Sequence","50.23","",""
"10/01/2021 08:00:00 - 10/01/2021 09:00:00","BZN|ES","Without Sequence","51.60","",""
"10/01/2021 09:00:00 - 10/01/2021 10:00:00","BZN|ES","Without Sequence","57.43","",""
"10/01/2021 10:00:00 - 10/01/2021 11:00:00","BZN|ES","Without Sequence","60.90","",""
"10/01/2021 11:00:00 - 10/01/2021 12:00:00","BZN|ES","Without Sequence","61.53","",""
"10/01/2021 12:00:00 - 10/01/2021 13:00:00","BZN|ES","Without Sequence","60.39","",""
"10/01/2021 13:00:00 - 10/01/2021 14:00:00","BZN|ES","Without Sequence","56.41","",""
"10/01/2021 14:00:00 - 10/01/2021 15:00:00","BZN|ES","Without Sequence","56.99","",""
"10/01/2021 15:00:00 - 10/01/2021 16:00:00","BZN|ES","Without Sequence","56.41","",""
"10/01/2021 16:00:00 - 10/01/2021 17:00:00","BZN|ES","Without Sequence","56.52","",""
"10/01/2021 17:00:00 - 10/01/2021 18:00:00","BZN|ES","Without Sequence","62.60","",""
"10/01/2021 18:00:00 - 10/01/2021 19:00:00","BZN|ES","Without Sequence","95.00","",""
"10/01/2021 19:00:00 - 10/01/2021 20:00:00","BZN|ES","Without Sequence","107.75","",""
"10/01/2021 20:00:00 - 10/01/2021 21:00:00","BZN|ES","Without Sequence","110.29","",""
"10/01/2021 21:00:00 - 10/01/2021 22:00:00","BZN|ES","Without Sequence","110.00","",""
"10/01/2021 22:00:00 - 10/01/2021 23:00:00","BZN|ES","Without Sequence","100.36","",""
"10/01/2021 23:00:00 - 11/01/2021 00:00:00","BZN|ES","Without Sequence","67.78","",""
"11/01/2021 00:00:00 - 11/01/2021 01:00:00","BZN|ES","Without Sequence","58.25","",""
"11/01/2021 01:00:00 - 11/01/2021 02:00:00","BZN|ES","Without Sequence","53.19","",""
"11/01/2021 02:00:00 - 11/01/2021 03:00:00","BZN|ES","Without Sequence","50.87","",""
"11/01/2021 03:00:00 - 11/01/2021 04:00:00","BZN|ES","Without Sequence","47.69","",""
"11/01/2021 04:00:00 - 11/01/2021 05:00:00","BZN|ES","Without Sequence","46.36","",""
"11/01/2021 05:00:00 - 11/01/2021 06:00:00","BZN|ES","Without Sequence","52.30","",""
"11/01/2021 06:00:00 - 11/01/2021 07:00:00","BZN|ES","Without Sequence","62.51","",""
"11/01/2021 07:00:00 - 11/01/2021 08:00:00","BZN|ES","Without Sequence","77.90","",""
"11/01/2021 08:00:00 - 11/01/2021 09:00:00","BZN|ES","Without Sequence","95.98","",""
"11/01/2021 09:00:00 - 11/01/2021 10:00:00","BZN|ES","Without Sequence","98.42","",""
"11/01/2021 10:00:00 - 11/01/2021 11:00:00","BZN|ES","Without Sequence","95.98","",""
"11/01/2021 11:00:00 - 11/01/2021 12:00:00","BZN|ES","Without Sequence","83.35","",""
"11/01/2021 12:00:00 - 11/01/2021 13:00:00","BZN|ES","Without Sequence","80.00","",""
"11/01/2021 13:00:00 - 11/01/2021 14:00:00","BZN|ES","Without Sequence","80.98","",""
"11/01/2021 14:00:00 - 11/01/2021 15:00:00","BZN|ES","Without Sequence","77.75","",""
"11/01/2021 15:00:00 - 11/01/2021 16:00:00","BZN|ES","Without Sequence","75.02","",""
"11/01/2021 16:00:00 - 11/01/2021 17:00:00","BZN|ES","Without Sequence","83.35","",""
"11/01/2021 17:00:00 - 11/01/2021 18:00:00","BZN|ES","Without Sequence","98.13","",""
"11/01/2021 18:00:00 - 11/01/2021 19:00:00","BZN|ES","Without Sequence","109.37","",""
"11/01/2021 19:00:00 - 11/01/2021 20:00:00","BZN|ES","Without Sequence","120.00","",""
"11/01/2021 20:00:00 - 11/01/2021 21:00:00","BZN|ES","Without Sequence","121.14","",""
"11/01/2021 21:00:00 - 11/01/2021 22:00:00","BZN|ES","Without Sequence","120.00","",""
"11/01/2021 22:00:00 - 11/01/2021 23:00:00","BZN|ES","Without Sequence","105.00","",""
"11/01/2021 23:00:00 - 12/01/2021 00:00:00","BZN|ES","Without Sequence","85.26","",""
"12/01/2021 00:00:00 - 12/01/2021 01:00:00","BZN|ES","Without Sequence","75.32","",""
"12/01/2021 01:00:00 - 12/01/2021 02:00:00","BZN|ES","Without Sequence","62.50","",""
"12/01/2021 02:00:00 - 12/01/2021 03:00:00","BZN|ES","Without Sequence","56.50","",""
"12/01/2021 03:00:00 - 12/01/2021 04:00:00","BZN|ES","Without Sequence","55.68","",""
"12/01/2021 04:00:00 - 12/01/2021 05:00:00","BZN|ES","Without Sequence","55.18","",""
"12/01/2021 05:00:00 - 12/01/2021 06:00:00","BZN|ES","Without Sequence","56.01","",""
"12/01/2021 06:00:00 - 12/01/2021 07:00:00","BZN|ES","Without Sequence","66.64","",""
"12/01/2021 07:00:00 - 12/01/2021 08:00:00","BZN|ES","Without Sequence","84.05","",""
